State,Year,Year,Consumption
Puducherry,2013,"Financial Year (Apr - Mar), 2013",2532.0
Lakshadweep,2013,"Financial Year (Apr - Mar), 2013",41.0
Bihar,2013,"Financial Year (Apr - Mar), 2013",7980.0
Jharkhand,2013,"Financial Year (Apr - Mar), 2013",18175.0
Odisha,2013,"Financial Year (Apr - Mar), 2013",14411.0
West Bengal,2013,"Financial Year (Apr - Mar), 2013",36592.0
Sikkim,2013,"Financial Year (Apr - Mar), 2013",405.0
Andaman & Nicobar Islands,2013,"Financial Year (Apr - Mar), 2013",216.0
Arunachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",481.0
Assam,2013,"Financial Year (Apr - Mar), 2013",4763.0
Manipur,2013,"Financial Year (Apr - Mar), 2013",398.0
Meghalaya,2013,"Financial Year (Apr - Mar), 2013",1322.0
Mizoram,2013,"Financial Year (Apr - Mar), 2013",303.0
Nagaland,2013,"Financial Year (Apr - Mar), 2013",395.0
Tripura,2013,"Financial Year (Apr - Mar), 2013",722.0
Chandigarh,2014,"Financial Year (Apr - Mar), 2014",1472.0
Delhi,2014,"Financial Year (Apr - Mar), 2014",24775.0
Haryana,2014,"Financial Year (Apr - Mar), 2014",32197.0
Himachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",7842.0
Jammu & Kashmir,2014,"Financial Year (Apr - Mar), 2014",6372.0
Punjab,2014,"Financial Year (Apr - Mar), 2014",39384.0
Rajasthan,2014,"Financial Year (Apr - Mar), 2014",49920.0
Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",64707.0
Uttarakhand,2014,"Financial Year (Apr - Mar), 2014",9980.0
Chhattisgarh,2014,"Financial Year (Apr - Mar), 2014",17102.0
Gujarat,2014,"Financial Year (Apr - Mar), 2014",73890.0
Madhya Pradesh,2014,"Financial Year (Apr - Mar), 2014",41757.0
Maharashtra,2014,"Financial Year (Apr - Mar), 2014",108496.0
Daman & Diu,2014,"Financial Year (Apr - Mar), 2014",1595.0
Dadra & Nagar Haveli,2014,"Financial Year (Apr - Mar), 2014",5164.0
Goa,2014,"Financial Year (Apr - Mar), 2014",3151.0
Andhra Pradesh,2014,"Financial Year (Apr - Mar), 2014",41914.0
Telangana,2014,"Financial Year (Apr - Mar), 2014",39639.0
